date,open,high,low,close,volume
2025-07-08 09:15:00,7.29,7.32,7.27,7.28,5741316
2025-07-08 09:16:00,7.28,7.28,7.26,7.28,1879538
2025-07-08 09:17:00,7.28,7.28,7.26,7.26,1466566
2025-07-08 09:18:00,7.27,7.29,7.26,7.29,2092858
2025-07-08 09:19:00,7.29,7.29,7.27,7.28,898408
2025-07-08 09:20:00,7.28,7.29,7.28,7.28,830309
2025-07-08 09:21:00,7.28,7.29,7.28,7.28,2497623
2025-07-08 09:22:00,7.28,7.3,7.28,7.29,1314810
2025-07-08 09:23:00,7.3,7.3,7.29,7.3,987214
2025-07-08 09:24:00,7.3,7.3,7.29,7.3,466777
2025-07-08 09:25:00,7.31,7.31,7.29,7.3,1563564
2025-07-08 09:26:00,7.29,7.3,7.29,7.29,813060
2025-07-08 09:27:00,7.3,7.3,7.29,7.3,2252609
2025-07-08 09:28:00,7.3,7.3,7.28,7.29,1001505
2025-07-08 09:29:00,7.29,7.3,7.28,7.29,1234408
2025-07-08 09:30:00,7.29,7.31,7.28,7.31,3129396
2025-07-08 09:31:00,7.31,7.32,7.3,7.3,4819524
2025-07-08 09:32:00,7.3,7.31,7.3,7.3,524618
2025-07-08 09:33:00,7.31,7.31,7.29,7.29,4241078
2025-07-08 09:34:00,7.3,7.3,7.28,7.29,2832813
2025-07-08 09:35:00,7.29,7.29,7.27,7.28,2025589
2025-07-08 09:36:00,7.27,7.28,7.27,7.27,305487
2025-07-08 09:37:00,7.27,7.28,7.26,7.27,3887537
2025-07-08 09:38:00,7.28,7.29,7.27,7.29,1648260
2025-07-08 09:39:00,7.29,7.29,7.28,7.28,2831773
2025-07-08 09:40:00,7.29,7.32,7.28,7.32,6875123
2025-07-08 09:41:00,7.32,7.32,7.31,7.31,922651
2025-07-08 09:42:00,7.32,7.32,7.29,7.3,2488304
2025-07-08 09:43:00,7.29,7.31,7.29,7.31,1188226
2025-07-08 09:44:00,7.3,7.32,7.3,7.31,1682939
2025-07-08 09:45:00,7.31,7.33,7.3,7.33,2967966
2025-07-08 09:46:00,7.33,7.34,7.32,7.34,1811207
2025-07-08 09:47:00,7.33,7.34,7.32,7.32,2375461
2025-07-08 09:48:00,7.32,7.33,7.31,7.33,1320826
2025-07-08 09:49:00,7.33,7.34,7.32,7.33,1572703
2025-07-08 09:50:00,7.32,7.35,7.32,7.35,2572737
2025-07-08 09:51:00,7.34,7.35,7.34,7.35,1303764
2025-07-08 09:52:00,7.35,7.36,7.34,7.35,3166821
2025-07-08 09:53:00,7.35,7.36,7.34,7.35,1718442
2025-07-08 09:54:00,7.34,7.37,7.34,7.36,4446889
2025-07-08 09:55:00,7.36,7.36,7.34,7.35,990776
2025-07-08 09:56:00,7.34,7.36,7.34,7.35,1603332
2025-07-08 09:57:00,7.36,7.36,7.35,7.36,458336
2025-07-08 09:58:00,7.36,7.36,7.34,7.35,490157
2025-07-08 09:59:00,7.35,7.35,7.34,7.35,754943
2025-07-08 10:00:00,7.35,7.35,7.33,7.33,1005030
2025-07-08 10:01:00,7.34,7.36,7.34,7.36,2742793
2025-07-08 10:02:00,7.35,7.36,7.35,7.36,740863
2025-07-08 10:03:00,7.36,7.36,7.34,7.34,470608
2025-07-08 10:04:00,7.34,7.35,7.33,7.35,2229070
2025-07-08 10:05:00,7.35,7.37,7.35,7.37,3259080
2025-07-08 10:06:00,7.36,7.36,7.35,7.36,429590
2025-07-08 10:07:00,7.36,7.36,7.34,7.35,1134892
2025-07-08 10:08:00,7.35,7.35,7.33,7.33,1013606
2025-07-08 10:09:00,7.33,7.34,7.33,7.34,669828
2025-07-08 10:10:00,7.34,7.34,7.33,7.33,216482
2025-07-08 10:11:00,7.34,7.34,7.33,7.33,247456
2025-07-08 10:12:00,7.33,7.34,7.33,7.34,194386
2025-07-08 10:13:00,7.34,7.34,7.33,7.34,68443
2025-07-08 10:14:00,7.33,7.34,7.33,7.34,115089
2025-07-08 10:15:00,7.33,7.34,7.33,7.34,196998
2025-07-08 10:16:00,7.34,7.34,7.32,7.32,1139816
2025-07-08 10:17:00,7.32,7.33,7.32,7.33,240829
2025-07-08 10:18:00,7.33,7.33,7.32,7.32,630944
2025-07-08 10:19:00,7.33,7.34,7.32,7.34,2386025
2025-07-08 10:20:00,7.33,7.34,7.33,7.33,357064
2025-07-08 10:21:00,7.34,7.34,7.32,7.33,1271998
2025-07-08 10:22:00,7.33,7.33,7.32,7.33,95379
2025-07-08 10:23:00,7.32,7.33,7.3,7.3,3145315
2025-07-08 10:24:00,7.31,7.31,7.3,7.3,185675
2025-07-08 10:25:00,7.31,7.32,7.3,7.32,689657
2025-07-08 10:26:00,7.31,7.32,7.31,7.32,161957
2025-07-08 10:27:00,7.31,7.32,7.31,7.32,254799
2025-07-08 10:28:00,7.31,7.32,7.3,7.31,1426521
2025-07-08 10:29:00,7.3,7.31,7.3,7.31,882180
2025-07-08 10:30:00,7.31,7.31,7.3,7.31,130855
2025-07-08 10:31:00,7.3,7.31,7.3,7.31,227150
2025-07-08 10:32:00,7.3,7.31,7.3,7.31,91594
2025-07-08 10:33:00,7.31,7.32,7.3,7.32,714899
2025-07-08 10:34:00,7.31,7.32,7.31,7.32,211085
2025-07-08 10:35:00,7.32,7.32,7.31,7.32,224898
2025-07-08 10:36:00,7.31,7.32,7.31,7.32,61814
2025-07-08 10:37:00,7.31,7.32,7.31,7.31,88999
2025-07-08 10:38:00,7.32,7.32,7.31,7.32,74191
2025-07-08 10:39:00,7.31,7.32,7.31,7.32,100886
2025-07-08 10:40:00,7.32,7.32,7.31,7.32,146974
2025-07-08 10:41:00,7.31,7.32,7.31,7.32,146248
2025-07-08 10:42:00,7.32,7.32,7.31,7.32,107826
2025-07-08 10:43:00,7.31,7.32,7.31,7.32,239526
2025-07-08 10:44:00,7.32,7.32,7.3,7.3,2002622
2025-07-08 10:45:00,7.3,7.31,7.3,7.31,282225
2025-07-08 10:46:00,7.31,7.31,7.29,7.3,3796110
2025-07-08 10:47:00,7.29,7.3,7.29,7.29,158765
2025-07-08 10:48:00,7.29,7.29,7.27,7.28,6249716
2025-07-08 10:49:00,7.27,7.28,7.27,7.27,397721
2025-07-08 10:50:00,7.28,7.29,7.27,7.28,1765743
2025-07-08 10:51:00,7.28,7.28,7.27,7.27,703954
2025-07-08 10:52:00,7.27,7.28,7.27,7.27,193116
2025-07-08 10:53:00,7.27,7.28,7.27,7.27,534049
2025-07-08 10:54:00,7.27,7.28,7.27,7.27,585193
2025-07-08 10:55:00,7.27,7.27,7.25,7.26,5090146
2025-07-08 10:56:00,7.25,7.26,7.25,7.26,550681
2025-07-08 10:57:00,7.26,7.26,7.25,7.26,551892
2025-07-08 10:58:00,7.25,7.27,7.25,7.26,713665
2025-07-08 10:59:00,7.27,7.27,7.26,7.27,521231
2025-07-08 11:00:00,7.27,7.27,7.25,7.25,2226589
2025-07-08 11:01:00,7.25,7.26,7.25,7.25,1212866
2025-07-08 11:02:00,7.25,7.26,7.24,7.25,2651378
2025-07-08 11:03:00,7.25,7.25,7.24,7.25,1741216
2025-07-08 11:04:00,7.24,7.25,7.24,7.25,290906
2025-07-08 11:05:00,7.24,7.25,7.24,7.24,605534
2025-07-08 11:06:00,7.24,7.25,7.24,7.24,333376
2025-07-08 11:07:00,7.25,7.25,7.23,7.24,1733204
2025-07-08 11:08:00,7.24,7.24,7.23,7.24,844072
2025-07-08 11:09:00,7.23,7.24,7.23,7.24,199596
2025-07-08 11:10:00,7.23,7.24,7.23,7.24,430485
2025-07-08 11:11:00,7.24,7.24,7.22,7.23,1165131
2025-07-08 11:12:00,7.22,7.23,7.22,7.22,445540
2025-07-08 11:13:00,7.22,7.23,7.22,7.23,1173507
2025-07-08 11:14:00,7.23,7.23,7.22,7.23,244678
2025-07-08 11:15:00,7.22,7.23,7.22,7.22,366475
2025-07-08 11:16:00,7.22,7.24,7.22,7.24,701830
2025-07-08 11:17:00,7.24,7.24,7.23,7.24,296970
2025-07-08 11:18:00,7.24,7.26,7.23,7.25,6737248
2025-07-08 11:19:00,7.25,7.26,7.25,7.25,621960
2025-07-08 11:20:00,7.25,7.26,7.25,7.26,357509
2025-07-08 11:21:00,7.26,7.26,7.25,7.26,251420
2025-07-08 11:22:00,7.26,7.26,7.25,7.26,506769
2025-07-08 11:23:00,7.26,7.26,7.25,7.25,167071
2025-07-08 11:24:00,7.26,7.26,7.24,7.24,784525
2025-07-08 11:25:00,7.24,7.25,7.24,7.25,162325
2025-07-08 11:26:00,7.24,7.25,7.24,7.25,702190
2025-07-08 11:27:00,7.24,7.25,7.24,7.25,443135
2025-07-08 11:28:00,7.24,7.25,7.24,7.25,175290
2025-07-08 11:29:00,7.24,7.25,7.24,7.25,380075
2025-07-08 11:30:00,7.25,7.26,7.24,7.26,943005
2025-07-08 11:31:00,7.25,7.26,7.25,7.25,179196
2025-07-08 11:32:00,7.25,7.26,7.25,7.25,187108
2025-07-08 11:33:00,7.25,7.26,7.25,7.26,83797
2025-07-08 11:34:00,7.26,7.26,7.25,7.26,83332
2025-07-08 11:35:00,7.25,7.26,7.25,7.25,1130608
2025-07-08 11:36:00,7.25,7.25,7.24,7.24,79994
2025-07-08 11:37:00,7.24,7.25,7.24,7.24,360348
2025-07-08 11:38:00,7.24,7.25,7.24,7.25,335850
2025-07-08 11:39:00,7.24,7.25,7.24,7.25,322887
2025-07-08 11:40:00,7.25,7.25,7.24,7.24,204431
2025-07-08 11:41:00,7.25,7.25,7.24,7.25,106692
2025-07-08 11:42:00,7.24,7.25,7.24,7.25,1351273
2025-07-08 11:43:00,7.24,7.25,7.24,7.24,90023
