date,open,high,low,close,volume,vol_avg20,volatility_5,high_low_range,high_N,low_N,channel_mid,ema_8,ema_21,ema_50,vwap,rsi_14,supertrend,supertrend_dir,bb_upper,bb_lower,bb_mid,bb_width,atr,atr_median20,adx
2024-02-26 09:15:00,1413.55,1426.0,1413.55,1425.95,1176830,1176830.0,,12.450000000000045,,,,,,,1421.8333333333333,,,0,,,,,,,
2024-02-26 09:25:00,1425.95,1425.95,1422.7,1423.35,432094,804462.0,,3.25,,,,,,,1422.4152151790056,,,0,,,,,,,
2024-02-26 09:35:00,1423.8,1426.95,1423.15,1426.9,275168,628030.6666666666,,3.7999999999999545,,,,,,,1422.8900833929554,,,0,,,,,,,
2024-02-26 09:45:00,1426.9,1427.7,1422.05,1423.7,296679,545192.75,,5.650000000000091,,,,,,,1423.1068341655314,,,0,,,,,,,
2024-02-26 09:55:00,1423.7,1423.95,1420.7,1422.7,422034,520561.0,,3.25,,,,,,,1423.0003312387983,,,0,,,,,,,
2024-02-26 10:05:00,1422.65,1423.95,1421.55,1422.7,170839,462274.0,0.001873064590385614,2.400000000000091,,,,,,,1422.983885849566,,,0,,,,,,,
2024-02-26 10:15:00,1422.7,1424.9,1422.1,1423.95,122284,413704.0,0.001766260597988139,2.800000000000182,,,,,,,1423.0120133108742,,,0,,,,,,,
2024-02-26 10:25:00,1423.55,1425.65,1423.2,1425.1,166505,382804.125,0.0012874396362154972,2.4500000000000455,,,,1424.387927299968,,,1423.1010709241095,,,0,,,,,,,
2024-02-26 10:35:00,1425.1,1426.75,1424.0,1424.7,158453,357876.22222222225,0.0006887405164025036,2.75,,,,1424.457276788864,,,1423.2018689526215,,,0,,,,,,,
2024-02-26 10:45:00,1424.7,1425.45,1423.6,1424.05,123874,334476.0,0.0006186464217229222,1.8500000000001364,,,,1424.366770835783,,,1423.2450075192241,,,0,,,,,6.629747168300058,,
2024-02-26 10:55:00,1424.0,1424.6,1422.3,1424.2,124156,315356.0,0.0006123259476115183,2.2999999999999545,1427.7,1413.55,1420.625,1424.3297106500534,,,1423.2612921587033,,1404.8596826455896,1,,,,,6.196772451470048,,
2024-02-26 11:05:00,1424.25,1424.8,1423.85,1424.7,121543,299204.9166666667,0.00050446834209254,0.9500000000000455,1427.7,1420.7,1424.2,1424.4119971722637,,,1423.301531893276,,1407.3087143810308,1,,,,,5.672095206323048,,
2024-02-26 11:15:00,1424.7,1426.5,1424.15,1425.95,124021,285729.23076923075,0.0005291086712519693,2.349999999999909,1427.7,1420.7,1424.2,1424.7537755784274,,,1423.3760484464403,,1409.3053429429278,1,,,,,5.339885685690734,,
2024-02-26 11:25:00,1425.95,1427.0,1425.3,1426.0,186181,278618.64285714284,0.00048655638070892697,1.7000000000000455,1427.7,1420.7,1424.2,1425.0307143387768,,,1423.5060643653303,,1411.2223086486351,1,,,,,4.975897117121665,,31.047964603459224
2024-02-26 11:35:00,1426.15,1427.9,1426.0,1427.75,172039,271513.3333333333,0.0005156324122837844,1.900000000000091,1427.0,1420.7,1423.85,1425.6350000412708,,,1423.6628076337563,55.14285714285695,1412.9450777837715,1,,,,,4.668307405409508,,31.61751586253158
2024-02-26 11:45:00,1427.8,1429.0,1425.15,1425.45,212596,267831.0,0.001100067086300821,3.849999999999909,1427.9,1421.55,1424.725,1425.5938889209883,,,1423.8052160651991,56.10465116279108,1413.3155700053944,1,,,,,4.586476664868548,,31.748701421770733
2024-02-26 11:55:00,1425.4,1427.8,1424.5,1426.95,181481,262751.5882352941,0.0011704222385586743,3.2999999999999545,1429.0,1422.1,1425.55,1425.8952469385465,,,1423.9113168771726,50.165016501650015,1413.3155700053944,1,,,,,4.457828998381689,,31.194920455209427
2024-02-26 12:05:00,1427.1,1427.6,1425.2,1425.35,159684,257025.61111111112,0.0012680751773301968,2.3999999999998636,1429.0,1422.3,1425.65,1425.774080952203,,,1423.9851343103653,56.08856088560837,1413.6438617043696,1,,,,,4.252046098543506,,30.680695271973928
2024-02-26 12:15:00,1425.55,1426.5,1423.0,1426.3,158777,251854.63157894736,0.0013134681692643184,3.5,1429.0,1422.3,1425.65,1425.8909518517135,,,1424.0276563046602,63.333333333332995,1413.6438617043696,1,,,,,4.176841488689155,,28.702939999023496
2024-02-26 12:25:00,1426.4,1428.35,1426.05,1427.75,180449,248284.35,0.0012686018550605025,2.2999999999999545,1429.0,1422.3,1425.65,1426.304073662444,,,1424.1495988604731,66.8896321070232,1415.232527980539,1,1428.2382799758636,1422.1117200241363,1425.175,0.004298812392672635,3.9891573398202356,,27.650273849427297
2024-02-26 12:35:00,1427.75,1428.6,1427.0,1428.25,214471,200166.4,0.0008934805710074018,1.599999999999909,1429.0,1422.3,1425.65,1426.7365017374564,1425.946585773043,,1424.3069446079958,65.14084507042233,1416.5492751824854,1,1428.6354761284929,1421.944523871507,1425.29,0.0046944497309221265,3.750241605838203,,26.816604185900946
2024-02-26 12:45:00,1428.35,1429.0,1426.6,1429.0,256290,191376.2,0.0008246648091259915,2.400000000000091,1429.0,1423.0,1426.0,1427.2395013513549,1426.2241688845845,,1424.490474583159,64.13043478260883,1416.9543476642368,1,1429.1727156368167,1421.9722843631832,1425.5725,0.00505090500387279,3.615217445254392,,25.957308901751276
2024-02-26 12:55:00,1429.0,1431.0,1428.5,1429.5,302321,192733.85,0.00027697946509508344,2.5,1429.0,1423.0,1426.0,1427.7418343843872,1426.5219717132586,,1424.7631587715066,67.26618705035915,1419.2389128978132,1,1429.6732449917456,1421.7317550082541,1425.7024999999999,0.005570229401639979,3.5036957007289526,,26.177698940926977
