sl_pct,tp_pct,trail_pct,hold_max,lower,upper,PnL,Trades
0.0005,0.002,0.0015,5,0.44,0.48,-788.3759659711504,120.0
0.0005,0.002,0.0015,5,0.44,0.49,89.68593232585408,110.0
0.0005,0.002,0.0015,5,0.44,0.5,180.73059264733456,102.0
0.0005,0.002,0.0015,5,0.44,0.51,-30.305768953854567,98.0
0.0005,0.002,0.0015,5,0.45,0.48,-1619.8262137682177,127.0
0.0005,0.002,0.0015,5,0.45,0.49,-741.7643154712132,118.0
0.0005,0.002,0.0015,5,0.45,0.5,-635.4790079983504,109.0
0.0005,0.002,0.0015,5,0.45,0.51,-846.5153695995396,105.0
0.0005,0.002,0.0015,5,0.46,0.48,-2687.199147678606,135.0
0.0005,0.002,0.0015,5,0.46,0.49,-1778.7671086095797,125.0
0.0005,0.002,0.0015,5,0.46,0.5,-1924.325863289705,118.0
0.0005,0.002,0.0015,5,0.46,0.51,-2135.362224890894,114.0
0.0005,0.002,0.0015,5,0.47,0.48,-3044.9937442154333,144.0
0.0005,0.002,0.0015,5,0.47,0.49,-2085.7441144369805,135.0
0.0005,0.002,0.0015,5,0.47,0.5,-2482.6770875874063,127.0
0.0005,0.002,0.0015,5,0.47,0.51,-2693.7134491885954,123.0
0.0005,0.002,0.0015,7,0.44,0.48,-1966.1926847106515,108.0
0.0005,0.002,0.0015,7,0.44,0.49,-1074.6726824565267,100.0
0.0005,0.002,0.0015,7,0.44,0.5,-877.1362851832237,93.0
0.0005,0.002,0.0015,7,0.44,0.51,-1136.9750872822187,89.0
0.0005,0.002,0.0015,7,0.45,0.48,-3034.229572268523,115.0
0.0005,0.002,0.0015,7,0.45,0.49,-2142.709570014398,107.0
0.0005,0.002,0.0015,7,0.45,0.5,-1899.4393791007897,100.0
0.0005,0.002,0.0015,7,0.45,0.51,-2159.2781811997847,96.0
0.0005,0.002,0.0015,7,0.46,0.48,-3182.850212993566,120.0
0.0005,0.002,0.0015,7,0.46,0.49,-2145.547039354671,111.0
0.0005,0.002,0.0015,7,0.46,0.5,-2047.864903812675,106.0
0.0005,0.002,0.0015,7,0.46,0.51,-2307.70370591167,102.0
0.0005,0.002,0.0015,7,0.47,0.48,-3255.9092123909795,124.0
0.0005,0.002,0.0015,7,0.47,0.49,-2329.2723420473485,117.0
0.0005,0.002,0.0015,7,0.47,0.5,-2108.1758233046858,111.0
0.0005,0.002,0.0015,7,0.47,0.51,-2368.014625403681,107.0
0.0005,0.002,0.0015,10,0.44,0.48,-1602.972271674982,97.0
0.0005,0.002,0.0015,10,0.44,0.49,-551.8487769088533,89.0
0.0005,0.002,0.0015,10,0.44,0.5,-362.4632870844216,82.0
0.0005,0.002,0.0015,10,0.44,0.51,-297.2898793001805,79.0
0.0005,0.002,0.0015,10,0.45,0.48,-2766.9324004290247,102.0
0.0005,0.002,0.0015,10,0.45,0.49,-1835.2354197963577,95.0
0.0005,0.002,0.0015,10,0.45,0.5,-1625.554832981099,87.0
0.0005,0.002,0.0015,10,0.45,0.51,-1560.381425196858,84.0
0.0005,0.002,0.0015,10,0.46,0.48,-2863.2276726265263,106.0
0.0005,0.002,0.0015,10,0.46,0.49,-1926.4425943300157,99.0
0.0005,0.002,0.0015,10,0.46,0.5,-2122.2544205223967,92.0
0.0005,0.002,0.0015,10,0.46,0.51,-2109.631213397908,89.0
0.0005,0.002,0.0015,10,0.47,0.48,-3267.462898793514,110.0
0.0005,0.002,0.0015,10,0.47,0.49,-2129.228110080556,103.0
0.0005,0.002,0.0015,10,0.47,0.5,-2125.1001567210915,96.0
0.0005,0.002,0.0015,10,0.47,0.51,-2112.476949596603,94.0
0.0005,0.002,0.002,5,0.44,0.48,-787.1921479069861,119.0
0.0005,0.002,0.002,5,0.44,0.49,90.86975039001845,110.0
0.0005,0.002,0.002,5,0.44,0.5,181.91441071149893,101.0
0.0005,0.002,0.002,5,0.44,0.51,-29.121950889690197,97.0
0.0005,0.002,0.002,5,0.45,0.48,-1618.6423957040533,127.0
0.0005,0.002,0.002,5,0.45,0.49,-740.5804974070488,117.0
0.0005,0.002,0.002,5,0.45,0.5,-634.295189934186,109.0
0.0005,0.002,0.002,5,0.45,0.51,-845.3315515353752,105.0
0.0005,0.002,0.002,5,0.46,0.48,-2686.0153296144417,134.0
0.0005,0.002,0.002,5,0.46,0.49,-1777.5832905454154,125.0
0.0005,0.002,0.002,5,0.46,0.5,-1923.1420452255406,117.0
0.0005,0.002,0.002,5,0.46,0.51,-2134.1784068267298,113.0
0.0005,0.002,0.002,5,0.47,0.48,-3043.809926151269,143.0
0.0005,0.002,0.002,5,0.47,0.49,-2084.560296372816,134.0
0.0005,0.002,0.002,5,0.47,0.5,-2481.493269523242,126.0
0.0005,0.002,0.002,5,0.47,0.51,-2692.529631124431,122.0
0.0005,0.002,0.002,7,0.44,0.48,-2006.61942600568,108.0
0.0005,0.002,0.002,7,0.44,0.49,-1104.7017712483066,100.0
